actual/predicted,0,1,2,3,4,5,6,7,8,9
0,961,0,1,0,0,4,7,2,2,3
1,0,1125,3,1,0,1,3,1,1,0
2,8,3,987,5,6,0,10,5,8,0
3,1,2,9,954,0,17,1,16,7,3
4,1,0,3,0,931,0,11,4,3,29
5,4,2,0,6,1,855,9,1,10,4
6,6,3,1,0,4,9,933,0,2,0
7,2,13,17,4,1,0,0,975,2,14
8,4,1,7,13,2,19,10,3,912,3
9,7,7,1,8,18,3,1,14,6,944
