digit,precision,recall,f1
0,0.9668008048289738,0.9806122448979592,0.9736575481256333
1,0.9731833910034602,0.9911894273127754,0.9821038847664775
2,0.9591836734693877,0.9563953488372093,0.957787481804949
3,0.9626639757820383,0.9445544554455445,0.9535232383808095
4,0.9667705088265836,0.9480651731160896,0.9573264781491002
5,0.9416299559471366,0.9585201793721974,0.9500000000000001
6,0.9472081218274112,0.9739039665970772,0.9603705609881625
7,0.9549461312438785,0.9484435797665369,0.9516837481698389
8,0.9569779643231899,0.9363449691991786,0.9465490399584846
9,0.944,0.9355797819623389,0.9397710303633647
