digit,precision,recall,f1
0,0.9628514056224899,0.9785714285714285,0.9706477732793521
1,0.9798422436459246,0.9850220264317181,0.9824253075571178
2,0.9593810444874274,0.9612403100775194,0.9603097773475314
3,0.9605263157894737,0.9396039603960396,0.94994994994995
4,0.9534412955465587,0.9592668024439919,0.9563451776649745
5,0.919062832800852,0.9674887892376681,0.9426542872747132
6,0.9564315352697096,0.9624217118997912,0.9594172736732571
7,0.954679802955665,0.9426070038910506,0.9486049926578561
8,0.949290060851927,0.9609856262833676,0.9551020408163267
9,0.9715489989462592,0.9137760158572844,0.9417773237997956
