actual/predicted,0,1,2,3,4,5,6,7,8,9
0,959,0,1,2,0,4,8,5,1,0
1,0,1118,2,3,0,1,4,1,6,0
2,5,2,992,6,6,1,5,7,8,0
3,1,0,10,949,0,30,0,9,10,1
4,3,1,4,0,942,1,11,5,5,10
5,6,1,0,5,0,863,7,1,6,3
6,7,3,2,0,5,14,922,1,4,0
7,3,9,19,9,2,0,1,969,4,12
8,4,1,3,6,3,12,5,3,936,1
9,8,6,1,8,30,13,1,14,6,922
