actual/predicted,0,1,2,3,4,5,6,7,8,9
0,969,0,1,1,0,2,4,2,1,0
1,0,1111,4,2,0,2,4,3,9,0
2,14,0,995,2,3,0,5,6,6,1
3,0,1,11,965,0,9,0,10,9,5
4,1,0,2,0,949,0,8,5,1,16
5,8,1,0,17,5,845,6,0,6,4
6,11,3,3,0,8,7,920,1,5,0
7,3,6,17,2,3,0,0,983,2,12
8,6,1,4,9,9,8,8,6,921,2
9,9,3,2,7,33,5,1,19,10,920
