digit,precision,recall,f1
0,0.9490695396669931,0.9887755102040816,0.9685157421289355
1,0.9866785079928952,0.9788546255506608,0.9827509951348962
2,0.9576515880654476,0.9641472868217055,0.9608884596813134
3,0.9601990049751243,0.9554455445544554,0.9578163771712159
4,0.9396039603960396,0.9663951120162932,0.9528112449799196
5,0.9624145785876993,0.9473094170403588,0.9548022598870056
6,0.9623430962343096,0.9603340292275574,0.9613375130616509
7,0.9497584541062802,0.9562256809338522,0.9529810954920019
8,0.9494845360824742,0.9455852156057495,0.9475308641975309
9,0.9583333333333334,0.9117938553022795,0.9344845099035043
