actual/predicted,0,1,2,3,4,5,6,7,8,9
0,968,0,2,0,0,1,5,1,3,0
1,0,1120,3,2,0,0,5,1,4,0
2,5,0,1005,7,3,0,1,9,2,0
3,0,0,8,978,0,7,0,9,5,3
4,1,0,2,0,962,0,6,3,2,6
5,2,2,0,9,0,872,4,1,1,1
6,7,5,1,0,3,5,936,0,1,0
7,2,3,17,4,2,0,0,989,0,11
8,9,2,3,9,6,7,4,6,923,5
9,9,6,0,5,19,5,1,11,8,945
