digit,precision,recall,f1
0,0.9593657086223984,0.9877551020408163,0.9733534439416792
1,0.9816112084063048,0.9876651982378855,0.984628897672376
2,0.9689922480620154,0.9689922480620154,0.9689922480620154
3,0.9719157472417251,0.9594059405940594,0.9656203288490284
4,0.9569569569569569,0.9735234215885947,0.9651691065118627
5,0.968503937007874,0.9652466367713004,0.9668725435148793
6,0.9717573221757322,0.9697286012526096,0.9707419017763845
7,0.9617271835132483,0.953307392996109,0.9574987787005375
8,0.9526686807653575,0.971252566735113,0.961870869344179
9,0.9719917012448133,0.9286422200198216,0.9498226051697922
