digit,precision,recall,f1
0,0.9661691542288557,0.9908163265306122,0.9783375314861462
1,0.9833479404031551,0.9885462555066079,0.9859402460456942
2,0.9625719769673704,0.9718992248062015,0.9672131147540983
3,0.9594861660079052,0.9613861386138614,0.9604352126607318
4,0.9830687830687831,0.9460285132382892,0.964193046185781
5,0.9469122426868906,0.9798206278026906,0.9630853994490358
6,0.9726890756302521,0.9665970772442589,0.9696335078534032
7,0.9703849950641659,0.9562256809338522,0.9632533072023518
8,0.9714889123548046,0.944558521560575,0.9578344612181156
9,0.9441176470588235,0.9544103072348861,0.9492360768851651
