actual/predicted,0,1,2,3,4,5,6,7,8,9
0,971,0,2,0,0,1,3,1,2,0
1,0,1122,3,2,0,1,4,1,2,0
2,6,1,1003,7,2,0,2,5,4,2
3,0,0,8,971,0,18,0,8,5,0
4,2,0,2,0,929,0,9,2,2,36
5,6,0,1,5,0,874,3,1,1,1
6,9,4,2,0,5,10,926,0,2,0
7,1,8,17,9,0,0,0,983,0,10
8,6,0,4,12,4,11,4,5,920,8
9,4,6,0,6,5,8,1,7,9,963
