actual/predicted,0,1,2,3,4,5,6,7,8,9
0,965,0,1,0,0,2,7,1,4,0
1,0,1116,4,2,0,1,2,0,10,0
2,4,2,998,8,3,0,4,7,4,2
3,0,0,6,973,0,13,0,8,8,2
4,1,1,1,0,953,0,10,1,2,13
5,4,2,0,9,0,869,5,1,1,1
6,7,3,2,0,5,5,933,0,3,0
7,3,10,23,8,2,0,0,970,0,12
8,5,0,5,7,5,2,5,2,942,1
9,8,6,1,5,25,9,1,6,10,938
