digit,precision,recall,f1
0,0.9679037111334002,0.9846938775510204,0.9762266059686394
1,0.9789473684210527,0.9832599118942731,0.981098901098901
2,0.9586935638808838,0.9670542635658915,0.9628557645923782
3,0.9614624505928854,0.9633663366336633,0.9624134520276955
4,0.959718026183283,0.9704684317718941,0.9650632911392405
5,0.9644839067702553,0.9742152466367713,0.9693251533742331
6,0.9648397104446742,0.9739039665970772,0.9693506493506493
7,0.9738955823293173,0.943579766536965,0.9584980237154151
8,0.9573170731707317,0.9671457905544147,0.9622063329928497
9,0.9680082559339526,0.929633300297324,0.948432760364004
