actual/predicted,0,1,2,3,4,5,6,7,8,9
0,966,0,0,2,0,6,3,1,2,0
1,0,1120,3,2,0,1,3,2,4,0
2,6,1,991,6,4,1,7,9,7,0
3,0,1,13,961,0,16,2,10,7,0
4,1,0,4,0,948,0,10,2,2,15
5,7,1,0,15,2,850,6,0,7,4
6,12,2,5,1,6,15,913,1,3,0
7,3,10,22,2,2,1,1,975,1,11
8,4,1,10,11,9,12,6,8,912,1
9,9,6,1,11,21,8,0,9,8,936
