actual/predicted,0,1,2,3,4,5,6,7,8,9
0,970,0,1,0,0,1,4,1,3,0
1,0,1123,2,1,0,1,3,0,4,1
2,6,3,995,10,2,0,2,9,5,0
3,0,0,4,985,0,4,0,9,7,1
4,1,0,3,0,957,0,6,2,0,13
5,4,0,0,10,0,866,3,1,6,2
6,8,3,2,0,4,5,931,0,5,0
7,2,6,15,5,0,0,0,990,0,10
8,3,0,3,12,4,0,2,3,942,5
9,6,5,1,2,12,3,0,11,9,960
