digit,precision,recall,f1
0,0.97,0.9897959183673469,0.9797979797979798
1,0.9850877192982456,0.9894273127753304,0.9872527472527471
2,0.969785575048733,0.9641472868217055,0.966958211856171
3,0.9609756097560975,0.9752475247524752,0.9680589680589681
4,0.9775280898876404,0.9745417515274949,0.9760326364099949
5,0.9840909090909091,0.9708520179372198,0.9774266365688488
6,0.9789695057833859,0.9718162839248434,0.9753797799895233
7,0.9649122807017544,0.9630350194552529,0.9639727361246349
8,0.9602446483180428,0.9671457905544147,0.9636828644501279
9,0.967741935483871,0.9514370664023786,0.95952023988006
