digit,precision,recall,f1
0,0.9706774519716885,0.9795918367346939,0.9751142712036567
1,0.9875555555555555,0.9788546255506608,0.9831858407079646
2,0.9376770538243626,0.9622093023255814,0.9497847919655668
3,0.9496047430830039,0.9514851485148514,0.9505440158259149
4,0.9584599797365755,0.9633401221995926,0.9608938547486033
5,0.9568671963677639,0.945067264573991,0.9509306260575296
6,0.9604578563995838,0.9634655532359081,0.9619593538301198
7,0.9686552072800809,0.9319066147859922,0.9499256321269212
8,0.938877755511022,0.9620123203285421,0.9503042596348884
9,0.9479479479479479,0.9385530227948464,0.9432270916334661
