actual/predicted,0,1,2,3,4,5,6,7,8,9
0,960,0,1,2,0,5,8,1,3,0
1,0,1111,4,3,0,1,2,2,12,0
2,9,2,993,7,5,0,2,6,8,0
3,0,1,17,961,0,13,0,7,10,1
4,1,0,7,0,946,0,6,2,2,18
5,3,1,0,15,1,843,13,1,11,4
6,4,2,3,1,11,10,923,0,4,0
7,2,6,26,7,2,0,0,958,1,26
8,4,0,5,9,3,4,6,3,937,3
9,6,2,3,7,19,5,1,9,10,947
